,userid,commentid,username,content,timeStr,likedcount,hug,replycount
2,538767418,5905685953,路客AKBAR,听了一遍又一遍，想你想了一遍又一遍！我想你了!,1:58,0,FALSE,1
3,1889776799,5905675587,不解释190622,看我帖子欢迎评论,1:34,0,FALSE,0
4,8009022414,5905593389,Liyingjie666,2023.5.13又是一年夏天我只希望自已快乐开心别的我什么也不需要了我不需要好朋友也不需要至亲至爱的人我只需要我自已好好的这是我的愿望我的社交账号上的信息还停留在去年夏天没改过不是不想改也不是舍不得,昨天23:34,1,FALSE,0
5,1734749796,5905559228,_l关山難越,她结婚了.,昨天22:45,0,FALSE,0
6,1940509401,5905499571,夜的第七章y-,找个真心男朋友可奔现,昨天21:07,0,FALSE,0
7,1992030927,5905469092,大叔-本华,今年34岁了，未婚单身。我这半生啊！喜欢过很多女孩。从幼儿园开始，就喜欢一个少妇，她算是那时我的“玛莲娜”吧！小学时又喜欢班上最好看的那个，初中喜欢过两个，高中喜欢两个，大学喜欢两个，出了社会，抛开网恋的，到目前为止，也喜欢两个。其中只有一段感情是在一起的。要问我爱过吗？哈哈~,昨天20:07,0,FALSE,2
8,8538149368,5905157534,深情的小小_,比起失去我更害怕别人拥有你,昨天00:51,1,FALSE,0
9,8534473126,5905038484,暗恋_就好了,是不是很希望5月20日5点20分有人给你说一句我喜欢你。,2天前,1,FALSE,0
10,1725166513,5905031021,瓶sunshine,我觉得我最不该的就是，到了该成熟的年纪选择了单纯，明明现实那么残酷，还抱有幻想，最后只能证明自己是错的,2天前,0,FALSE,0
11,5126104257,5905014363,顾子帝,16324如果你不爱我那下次摇摇头做朋友,2天前,0,FALSE,0
12,1721583732,5904924704,花哨过人,下个月她就结婚啦，我是个没有身份的人，也是曾经陪她走过一段路的人，祝她以后平安快乐，那一段路我把你弄丢了，希望你的那个他一路陪伴你,2天前,0,FALSE,0
13,3956381076,5904916942,阳阳陈_,爱你我已不再是幼稚的少年.,2天前,1,FALSE,0
14,355910700,5904892467,八角钱,在一起时候时，没有感觉。当她说高兴地她有男朋友时，才知道自己是如何难受。后悔真的有用吗？,2天前,0,FALSE,0
0,3373696294,3351552025,小王万事顺心,男孩子一生会遇到两个女孩子，一个教会你爱，一个被你爱，要是这两个是同一个人就好了，不然…那第一个会有多难过啊…我算不算是同一个人呢,2020/6/22,14,FALSE,0
1,1987032415,3351360578,孤傲小冷蛋,卧槽，第一次听，肉好麻,2020/6/22,6,FALSE,0
2,1739381194,3351254356,生生不息与,喉咙塞粑粑唱法？,2020/6/21,9,FALSE,0
3,501257223,3351074141,马儿您慢些跑,放下吧，部渡吧,2020/6/21,1,FALSE,0
4,53728015,3350800047,孤影拜月,佛说:"阿弥陀佛，我佛不度哈批",2020/6/21,1,FALSE,0
5,3376553203,3350583683,还是空白格好听,恶魔，我们做个交易，可否？像小时候一样。夺取我的美好这样我们都会开心的笑了,2020/6/21,2,FALSE,0
6,1704720278,3350337678,等花枯萎彡,却不见你一语道别,2020/6/21,1,FALSE,0
7,1704720278,3350421812,等花枯萎彡,我还是难改心决,2020/6/21,1,FALSE,0
8,466570169,3349440193,段疯狂,你连字都吐不清楚,2020/6/20,0,FALSE,0
9,121530260,3349357121,z小鱼儿,前面的独白不行,2020/6/20,1,FALSE,0
