,userid,commentid,username,content,timeStr,likedcount,ip,time,ishug,replycount
1,62309526,187905409,我是白狗,恋爱的犀牛话剧我看了不下十遍，每次看到，我爱你爱崩溃了爱疯了，眼中就开始含着泪。去年的这个时候，老师给我们排犀牛，演到最后，我哭的妆都花了，老师就搂着我肩膀安慰我，她说，我不知道你遇见啥事了这么难过，我也不想知道，但是，你得坚强。上个月老师的父亲去世了，真想也给她说这番话。谢谢。,2016/7/24,26232,,1.46936E+12,FALSE,41
2,67777485,221751378,黄雨篱,纪念一下，今天上原创榜，我为什么一直很期待这样一天呢？当然不是因为这样一个并不太多意义的排名。而是从我开始使用这款软件开始，在那些作为普通听众关注这个榜单的时候我就想过自己的东西是否也能够成为独立音乐的一股力量做出贡献去带来价值，谢谢你们的认可让我相信有一天我一定可以做到。,2016/9/29,19908,,1.47513E+12,FALSE,21
3,67777485,200218602,黄雨篱,今天一天评论涨的都吓到我了[大哭]大家可以告诉我你们是怎么听到这首歌的吗，很高兴这首歌可以被更多的人听到,2016/8/17,16655,,1.47136E+12,FALSE,451
4,59849048,204853923,帐号已注销,有些人，无论你用什么方式爱她，到了最后，都是错的。,2016/8/25,15885,,1.4721E+12,FALSE,50
0,38995087,198344679,陈小熊bigbearzjzl,这是一首写给我家乡的歌呀，做成了一张单碟，随新专辑《之外》一同发布~  八月下旬就开始巡演啦！ 麻利儿的来微博找我玩~ @陈小熊bigbearzjzl ,2016/8/13,58455,,1.47107E+12,FALSE,58
1,349970814,277450701,壹安烟,在济南这几年听过最难忘的一个故事。济南老火车站，它曾是亚洲最大的火车站，它是十九世纪末二十世纪初德国年轻建筑师赫尔曼菲舍尔设计建造的一座典型德式建筑。赫尔曼菲舍尔去世后他的后代因怀念他，每年都会回到济南来看这座火车站，直到92年老火车站被拆除，他的后代再也没有踏进过济南一步。,2017/1/1,56044,,1.48324E+12,FALSE,252
2,135330415,283571257,冷门八叉,李志的郑州，赵雷的成都，贰佰的阿拉善，痛仰的安阳，万青的秦皇岛，花粥的西安，郝云的北京，李晋的扬州，陈小熊的济南。民谣地图终于走到济南这个城市了，热门看见那么多同城的感觉真好[憨笑]。,2017/1/9,51974,,1.48394E+12,FALSE,730
3,67409022,282813677,BigDaddy1990,真好听，更主要是我叫季楠楠 ，这歌简直就是写给我的情歌，一分钟处的简直就是告白，太感动了，单曲循环听，感觉自己被爱的不要不要的，哈哈哈哈,2017/1/8,34165,,1.48385E+12,FALSE,266
4,73022539,216220769,Heidilllx,在美国 听了想回我的济南 已经泪流满面,2016/9/17,23052,,1.47412E+12,FALSE,109
0,8674281,6562429,懿贤,当年搞不清张韶涵和张含韵。。。,2014/12/2,66299,,1.41745E+12,FALSE,132
1,41981905,8201496,路小鱼呀,現在很難找到歐若拉，七里香這樣紅遍大街而不膩俗的歌了，那時的我們好幸福。,2015/1/5,47397,,1.42045E+12,FALSE,50
2,7775465,8932446,_阿胜,复读机时光你慢些走啊......当初骗老娘买复读机学英语的，结果用复读机一遍一遍单曲循环的是这些文艺课上和女生对拼唱的歌儿，妞又没泡到，书也没读好，老娘，我错了......[大哭][大哭][大哭],2015/1/17,37236,,1.42149E+12,FALSE,57
3,248329430,171373509,Atlas的天空,欧若拉如此烂大街的口水歌，十二年了居然没有一个人能翻唱超过原唱，可见张韶涵被严重低估的唱功和天赋。,2016/6/20,35195,,1.46639E+12,FALSE,38
4,16922825,5442542,daydaycry,那是个买磁带听歌的年代啊[流泪][流泪],2014/11/4,21829,,1.41503E+12,FALSE,3
0,304985300,198199389,不去羡慕飞鸟,我要女盆友！！！[生病],2016/8/13,145051,,1.47105E+12,FALSE,2852
1,286025294,198220340,ElaineJanice,我要男盆友！！！[惊恐],2016/8/13,145050,,1.47105E+12,FALSE,2852
2,68291390,20194306,官欢哥,第一个评论给这首歌，因为昨晚在操场散步的时候终于，鼓起勇气牵起了她的手[憨笑],2015/5/31,38577,,1.43304E+12,FALSE,305
3,71587962,70257391,林宇泽,校服是唯一穿过的情侣装  毕业照是唯一的合照,2016/2/13,29740,,1.45537E+12,FALSE,128
4,17763369,6275426,momo401,想起了大一的时光，转眼十三年过去了。,2014/11/25,15608,,1.41689E+12,FALSE,121
0,57685696,16171862,十一人围吵,恰恰相反，窦唯没有黑豹依旧是那个窦唯，黑豹没有窦唯永远不是那个黑豹了…,2015/4/24,49708,,1.42988E+12,FALSE,322
1,49637535,16177514,帐号已注销,黑豹还唱着窦唯写的歌到处混钱，窦唯却没再唱过在黑豹写的歌。,2015/4/24,39828,,1.42988E+12,FALSE,460
2,87593440,49486426,脑洞系天才少女,[牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][狗][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手][牵手]人潮人海中又看到你,2015/11/27,30815,,1.44856E+12,FALSE,249
3,690372,16159099,Rohyal,最近看他坐地铁，再不修边幅，窦唯也是窦唯，是中国摇滚的先驱之一，是时至今日依然高产的一流音乐人，是一位追求内心圆融的艺术家。相比之下，那些四处走穴对口型没完没了唱同一首歌的、上蹿下跳炒作花边隐私的、削尖了脑袋砸钱买个不知所云名不副实的奖项的，就算再光鲜亮丽华服豪车，也只算个生意人,2015/4/24,19431,,1.42987E+12,FALSE,51
4,19244253,16302749,肉肉的bear,窦唯坐什么样的交通工具，发际线退到哪，也是窦唯，标记了一个时代的窦唯。,2015/4/26,18455,,1.42998E+12,FALSE,22
0,34476195,5337837,小王子喜欢狐狸小姐啊,愿所有暗恋都能被温柔的对待,2014/10/31,85872,,1.41473E+12,FALSE,372
1,41905624,6695639,薛胖今天瘦了吗,我朋友跟我说   她暗恋那个男生的时候    看着他的背影都会流泪    我体会不了那种情感,2014/12/4,64375,,1.4177E+12,FALSE,894
2,133571013,71371152,但凡未得到-,我从未拥有过你一秒，却感觉失去你千万次,2016/2/17,58385,,1.45569E+12,FALSE,147
3,31297545,7520446,好想吃面啊,“为了避免结束  你避免了一切开始” 大概就是“感谢我不可以，住进你的眼睛，所以才能，拥抱你的背影”,2014/12/23,38746,,1.41934E+12,FALSE,35
4,73253063,59201911,HinsUu,记得那是一个上午，?我们正在上语文课，窗户在教室的左边，窗外的阳光照进来，热且刺眼，?我看着她极力用本子当着阳光，我就站了起来，?老师问我怎么了？我说有点困，站着听课好一点，?那可是上午第二节课，怎么会困呢。。?只不过想用自己的身体挡住阳光，让她在我的影子里能够舒服一些。,2016/1/5,36556,,1.45198E+12,FALSE,183
0,35157598,42587561,九降风起,花样少年少女[憨笑]不知道有多少人看过[幽灵],2015/10/24,10889,,1.44568E+12,FALSE,201
1,12466108,21590878,否头笑胚,TANK的歌可难唱了,2015/6/10,8754,,1.43394E+12,FALSE,168
2,68499276,44901800,大力康,每个人都会在某一段时间爆炸性地成长，爆炸性地明白些事情,2015/11/5,7077,,1.44671E+12,FALSE,56
3,99151030,46232992,奈何相忘于江湖,老歌了，曾经听这首歌的人也老了,2015/11/12,6378,,1.44727E+12,FALSE,77
4,77992365,37747362,在奔往牛逼的路上小跑,今年大四，听这首歌的时候是初二，用着我表哥的步步高学习机，一首歌听一下午都不累。,2015/9/25,5109,,1.44319E+12,FALSE,79
0,305396,5219398,问我心何往,听前奏感觉被食人族围着跳舞,2014/10/27,119750,,1.41442E+12,FALSE,787
